2025-10-03 22:21:30 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 22:21:30 | INFO    | Main | {"timestamp": "2025-10-03T22:21:30.387797", "event": "SESSION_START", "data": {"session_id": "20251003-222130"}}
2025-10-03 22:21:30 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 22:21:34 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:21:34.915338", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 22:21:42 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:21:42.301747", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 22:21:55 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:21:55.057881", "event": "BUTTON_CLICK", "data": {"action": "OPEN_ZIP_SETTINGS"}}
2025-10-03 22:21:55 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:21:55.107712", "event": "ZIP_PASSWORD_DISABLED", "data": {}}
2025-10-03 22:23:19 | INFO    | Main | {"timestamp": "2025-10-03T22:23:19.987997", "event": "SESSION_END", "data": {"session_id": "20251003-222130"}}
2025-10-03 22:23:22 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 22:23:22 | INFO    | Main | {"timestamp": "2025-10-03T22:23:22.161822", "event": "SESSION_START", "data": {"session_id": "20251003-222322"}}
2025-10-03 22:23:22 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 22:23:31 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:23:31.311002", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 22:23:33 | INFO    | root | Logs initialized in INFO mode → handler=file
2025-10-03 22:23:42 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:23:42.572125", "event": "BUTTON_CLICK", "data": {"action": "OPEN_ZIP_SETTINGS"}}
